Course	Name	Attributes	Prerequisites
BMED 4757	Biofluid Mechanics	Tech Elect CS,Engr,&Sciences	BMED 3300
BMED 4758	Biosolid Mechanics	Tech Elect CS,Engr,&Sciences	BMED 3400
BMED 4765	Drug Design, Development and Delivery	Tech Elect CS,Engr,&Sciences	CHEM 3511,CHEM 4511,|
BMED 4781	Biomedical Instrumentation	Tech Elect CS,Engr,&Sciences	ECE 3050,ECE 3710,|
BMED 4782	Biosystems Analysis	Tech Elect CS,Engr,&Sciences	BMED 3500,CHBE 4400,|,ECE 2040,ME 3015,|,|
BMED 4783	Introduction to Medical Image Processing	Tech Elect CS,Engr,&Sciences	ECE 2025,MATH 3770,ISYE 3770,|,CEE 3770,|,&,BMED 2400,|
BMED 4784	Engineering Electrophysiology	Tech Elect CS,Engr,&Sciences	ECE 3040,BMED 3510,|
BMED 4801	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4802	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4803	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4804	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4805	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4811	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4812	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4813	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4814	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4815	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4823	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4833	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 4843	Special Topics		
BMED 4900	Special Problems	Tech Elect CS,Engr,&Sciences	
BMED 4901	Special Problems	Tech Elect CS,Engr,&Sciences	
BMED 4902	Special Problems	Tech Elect CS,Engr,&Sciences	
BMED 4903	Special Problems	Tech Elect CS,Engr,&Sciences	
BMED 6041	Analytical Methods for Biomedical Engineering		
BMED 6042	Systems Physiology		
BMED 6210	Magnetic Resonance Imaging		BMED 4750,BMED 6786,&
BMED 6501	Fundamentals of Biomedical Innovation and Development Processes		
BMED 6502	BioID Clinical Literacy and Experience		
BMED 6503	Medical Markets and Clinical Specialties		
BMED 6504	Financial Planning for Development Projects		
BMED 6505	Product Planning and Project Management		BMED 6504
BMED 6506	Professional Communications for Biomedical Innovation and Development		
BMED 6507	Medical Device Regulatory Requirements		
BMED 6508	BioID Team Masters Project I		BMED 6501
BMED 6509	BioID Masters Project II		BMED 6508
BMED 6700	Biostatistics		BMED 2400,ISYE 2028,|,ISYE 3770,|
BMED 6710	Rational Design of Biomaterials		
BMED 6711	Rational Design of Biomaterials Lab		
BMED 6720	Biotransport		
BMED 6730	Materials Science of Cellular Components		
BMED 6740	Living System Modeling & Analysis		
BMED 6743	Tissue Mechanics		
BMED 6753	Principles of Management for Engineers		
BMED 6760	Information Processing Models in Neural Systems		ECE 2025,ECE 3075,&
BMED 6765	Drug Design, Development and Delivery		CHEM 3511,CHEM 4511,|
BMED 6774	Biomaterials: Structure and Function		
BMED 6777	Advanced Biomaterials		BMED 6776,CHBE 6776,|,ME 6776,MSE 6776,|,|,PTFE 6776,|
BMED 6779	Bioprocess Engineering		
BMED 6780	Medical Image Processing		
BMED 6782	Cellular Engineering		
BMED 6784	Cardiovascular Biomechanics		
BMED 6786	Medical Imaging Systems		
BMED 6787	Quantitative Electrophysiology		
BMED 6789	Technology Ventures		
BMED 6793	Systems Pathophysiology		
BMED 6794	Tissue Engineering		
BMED 6799	Legal Issues in Technology Transfer		
BMED 7000	Master's Thesis		
BMED 7001	Biomedical Engineering Seminar		
BMED 7002	Teaching Practicum I		
BMED 7003	Teaching Practicum II		
BMED 7011	Integrative Core: Introduction to Modeling and Experimentation in Biomedical Engineering		
BMED 7012	Integrative Core: Experimental Design-Measurements at the Right Spatial and Temporal Scales		
BMED 7013	Integrative Core: Problem Solving with Computational Models		
BMED 7101	Advanced Seminar: Biomaterials & Regenerative Medicine		
BMED 7201	Advanced Seminar: Cardiovascular Biology & Biomechanics		
BMED 7301	Advanced Seminar: Cellular & Biomolecular Engineering		BMED 6782
BMED 7310	Stem Cell Engineering		
BMED 7410	Introduction to Multiscale Analysis in Systems		
BMED 7411	Mathematical Models in Biology & Medicine		
BMED 7413	Biochemical Systems Analysis		
BMED 7601	Advanced Seminar: Neuroengineering and Neuropathology		
BMED 7610	Quantitative Neuroscience		
BMED 7785	Introduction to Robotics Research		
BMED 8696	Teaching Assistant Training Opportunity Program Stage II		
BMED 8697	Teaching Assistant Training Opportunity Program Stage III		
BMED 8750	Multidisciplinary Robotics Research I		AE 7785,CS 7785,|,ECE 7785,BMED 7785,|,|
BMED 8751	Multidisciplinary Robotics Research II		AE 8750,CS 8750,|,ECE 8750,BMED 8750,|,|
BMED 8811	Special Topics		
BMED 8812	Special Topics		
BMED 8813	Special Topics		
BMED 8814	Special Topics		
BMED 8815	Special Topics		
BMED 8823	Special Topics		
BMED 8853	Special Topics		
BMED 8901	Special Problems		
BMED 8902	Special Problems		
BMED 8903	Special Problems		
BMED 8997	Teaching Assistantship		
BMED 8998	Research Assistantship		
BMED 9000	Doctoral Thesis		
